country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mozambique,1110,1090,1170,1110,1170,1320,1560,1540,1860,1870,1770,1920,2190,2180,2440,2640,3110,2980,4060,8270,6310,7730,8020,8290
Myanmar,6910,7210,7450,8040,8940,10100,8690,9160,9790,12400,11500,12800,12800,9730,10200,13100,15100,11900,13000,16200,22200,25000,25400,26400
Namibia,1620,1720,1770,1820,1660,1640,2020,1760,1870,1960,2310,2330,2360,3330,3070,3100,2770,3370,2600,3710,3960,4200,4230,4280
Nauru,106,103,103,99,91.7,84.3,80.7,77,66,66,62.3,44,44,44,40.3,44,40.3,40.3,44,47.7,47.7,47.7,48.9,50.3
Nepal,2410,2460,2760,2230,3190,3040,3240,2600,2810,2640,3050,2530,2580,3390,4190,4900,5280,5530,6290,7670,6020,8850,9110,9460
Netherlands,173000,183000,175000,177000,171000,172000,177000,177000,180000,182000,178000,173000,173000,176000,170000,182000,169000,166000,166000,159000,167000,167000,165000,162000
New Zealand,28000,29300,31300,29900,31500,32300,34500,34700,36400,36000,37600,37500,36600,37600,34800,35000,34300,36000,35300,35700,35900,34300,36100,34800
Nicaragua,2760,2850,3120,3390,3600,3720,3930,3990,4340,4380,4270,4420,4550,4370,4450,4470,4810,4550,4350,4600,5250,5510,5500,5580
Niger,562,643,646,698,683,693,652,695,754,809,709,687,717,804,963,1170,1320,1760,1890,2050,2020,2010,2230,2320
Nigeria,33400,36800,41000,37800,39600,78900,86800,94400,100000,98800,106000,97900,94300,94800,74900,113000,130000,117000,122000,128000,114000,118000,123000,127000
North Korea,81300,71700,65200,58800,64200,69200,71700,68700,70200,71800,75000,76200,63500,70400,53600,50100,36200,37600,27000,30600,24600,27500,28600,30200
North Macedonia,10700,11700,10600,12600,11700,12100,12000,10900,11300,11200,11300,10900,9490,9400,8700,8600,9310,8820,7860,7540,7100,7050,7360,7270
Norway,38700,41900,42000,42200,43000,42600,43900,43000,44400,44700,44000,44500,46300,45400,43900,46300,45500,45100,45000,44900,45300,44500,43700,44400
Oman,15700,14900,15300,16300,20600,21600,20100,25300,32100,27600,29500,39100,43700,42100,40500,46800,53300,58700,61200,60500,64600,62700,63700,67300
Pakistan,83700,93600,93900,96800,99500,106000,107000,113000,118000,130000,135000,144000,156000,155000,155000,166000,168000,166000,171000,179000,185000,197000,212000,224000
